,index,NewName_x,playerId,positionText_x,teamName_x,League_x
223,3614,C. Herelle,112220,Defender,Nice,French Ligue 1
224,3635,B. Dibassy,248278,Defender,Amiens,French Ligue 1
225,3641,V. Manceau,234365,Defender,Angers,French Ligue 1
226,3665,K. Amian,297210,Defender,Toulouse,French Ligue 1
227,4291,A. Grimaldo,107252,Defender,Benfica,Portuguese Liga ZON SAGRES
228,4296,A. Telles,125793,Defender,FC Porto,Portuguese Liga ZON SAGRES
229,4308,Bebeto,342768,Defender,Maritimo,Portuguese Liga ZON SAGRES
230,4312,R. Dias,313171,Defender,Benfica,Portuguese Liga ZON SAGRES
231,4316,Z. Júnior,137058,Defender,Maritimo,Portuguese Liga ZON SAGRES
232,4317,J. Aurélio,121722,Defender,Moreirense,Portuguese Liga ZON SAGRES
233,4320,A. Almeida,106151,Defender,Benfica,Portuguese Liga ZON SAGRES
234,4339,Patrick,322658,Defender,Santa Clara,Portuguese Liga ZON SAGRES
235,4352,S. Coates,71268,Defender,Sporting CP,Portuguese Liga ZON SAGRES
236,4364,J. Mathieu,5881,Defender,Sporting CP,Portuguese Liga ZON SAGRES
237,4365,P. Henrique,132882,Defender,Vitoria de Guimaraes,Portuguese Liga ZON SAGRES
238,4376,I. Santos,235919,Defender,Moreirense,Portuguese Liga ZON SAGRES
239,4400,R. Costa,10110,Defender,Boavista,Portuguese Liga ZON SAGRES
240,4411,G. Silva,124706,Defender,Belenenses SAD,Portuguese Liga ZON SAGRES
241,4428,E. Hackman,298403,Defender,Portimonense,Portuguese Liga ZON SAGRES
242,4429,W. Manafá,342701,Defender,FC Porto,Portuguese Liga ZON SAGRES
243,4449,L. Possignolo,342696,Defender,Portimonense,Portuguese Liga ZON SAGRES
244,4470,B. Viana,289112,Defender,Braga,Portuguese Liga ZON SAGRES
245,4507,R. Fernandes,135962,Defender,Gil Vicente,Portuguese Liga ZON SAGRES
246,5102,S. Hutchinson,68666,Defender,Millwall,English League Championship
247,5107,L. Ayling,82877,Defender,Leeds,English League Championship
248,5116,S. Morrison,37505,Defender,Cardiff,English League Championship
249,5119,K. Pedersen,228514,Defender,Birmingham,English League Championship
250,5121,J. Bryan,134331,Defender,Fulham,English League Championship
251,5129,L. Cooper,44148,Defender,Leeds,English League Championship
252,5129,L. Cooper,44148,Defender,Leeds,English League Championship
253,5129,L. Cooper,44148,Defender,Leeds,English League Championship
254,5129,L. Cooper,44148,Defender,Leeds,English League Championship
255,5131,A. Flint,134326,Defender,Cardiff,English League Championship
256,5144,J. de Wijs,245621,Defender,Hull,English League Championship
257,5148,A. Yiadom,90697,Defender,Reading,English League Championship
258,5155,A. Robinson,306581,Defender,Wigan,English League Championship
259,5164,P. Jansson,121123,Defender,Brentford,English League Championship
260,5165,T. Lees,80088,Defender,Sheffield Wednesday,English League Championship
261,5169,H. Dalsgaard,120893,Defender,Brentford,English League Championship
262,5171,A. Williams,8408,Defender,Bristol City,English League Championship
263,5172,D. Ayala,78559,Defender,Middlesbrough,English League Championship
264,5172,D. Ayala,78559,Defender,Middlesbrough,English League Championship
265,5172,D. Ayala,78559,Defender,Middlesbrough,English League Championship
266,5172,D. Ayala,78559,Defender,Middlesbrough,English League Championship
267,5174,J. Börner,133024,Defender,Sheffield Wednesday,English League Championship
268,5185,M. Morrison,19358,Defender,Reading,English League Championship
269,5192,T. Leistner,101685,Defender,Queens Park Rangers,English League Championship
270,5203,D. Fisher,130313,Defender,Preston,English League Championship
271,5215,D. Furlong,262401,Defender,West Bromwich Albion,English League Championship
272,5218,M. van der Hoorn,101605,Defender,Swansea,English League Championship
273,5219,D. Odoi,68335,Defender,Fulham,English League Championship
274,5219,D. Odoi,68335,Defender,Fulham,English League Championship
275,5219,D. Odoi,68335,Defender,Fulham,English League Championship
276,5219,D. Odoi,68335,Defender,Fulham,English League Championship
277,5226,M. Fox,121613,Defender,Sheffield Wednesday,English League Championship
278,5228,J. Cooper,235842,Defender,Millwall,English League Championship
279,5235,E. Lichaj,66612,Defender,Hull,English League Championship
280,5239,J. Bennett,68658,Defender,Cardiff,English League Championship
281,5240,C. Schindler,132360,Defender,Huddersfield,English League Championship
282,5241,M. Colin,91926,Defender,Birmingham,English League Championship
283,5246,M. Romeo,129623,Defender,Millwall,English League Championship
284,5261,H. Dean,131499,Defender,Birmingham,English League Championship
285,5265,T. Ream,85006,Defender,Fulham,English League Championship
286,5265,T. Ream,85006,Defender,Fulham,English League Championship
287,5265,T. Ream,85006,Defender,Fulham,English League Championship
288,5265,T. Ream,85006,Defender,Fulham,English League Championship
289,5270,J. Robinson,86594,Defender,Nottingham Forest,English League Championship
290,5279,J. Hunt,80745,Defender,Bristol City,English League Championship
291,5280,B. Davies,124204,Defender,Preston,English League Championship
292,5283,L. Moore,90218,Defender,Reading,English League Championship
293,5294,K. Naughton,34131,Defender,Swansea,English League Championship
294,5296,Y. Barbet,141155,Defender,Queens Park Rangers,English League Championship
295,5300,L. Peltier,22654,Defender,Cardiff,English League Championship
296,5302,R. Burke,141510,Defender,Hull,English League Championship
297,5323,J. Bidwell,82971,Defender,Swansea,English League Championship
298,5350,C. Christie,134111,Defender,Fulham,English League Championship
299,5374,L. Palmer,83778,Defender,Sheffield Wednesday,English League Championship
300,5426,F. Hadergjonaj,136896,Defender,Huddersfield,English League Championship
301,6469,L. Chambers,8793,Defender,Ipswich,England
302,6474,M. Beevers,23697,Defender,Peterborough,England
303,6493,J. Lynch,13927,Defender,Sunderland,England
304,6835,D. Wheater,14270,Defender,Oldham,England
305,7144,D. Dumfries,322153,Defender,PSV Eindhoven,Holland Eredivisie
306,7144,D. Dumfries,322153,Defender,PSV Eindhoven,Holland Eredivisie
307,7144,D. Dumfries,322153,Defender,PSV Eindhoven,Holland Eredivisie
308,7144,D. Dumfries,322153,Defender,PSV Eindhoven,Holland Eredivisie
309,7149,J. Svensson,81247,Defender,AZ Alkmaar,Holland Eredivisie
310,7164,M. Clark,313996,Defender,Vitesse,Holland Eredivisie
311,7164,M. Clark,313996,Defender,Vitesse,Holland Eredivisie
312,7164,M. Clark,313996,Defender,Vitesse,Holland Eredivisie
313,7164,M. Clark,313996,Defender,Vitesse,Holland Eredivisie
314,7171,M. Senesi,328330,Defender,Feyenoord,Holland Eredivisie
315,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
316,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
317,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
318,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
319,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
320,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
321,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
322,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
323,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
324,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
325,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
326,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
327,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
328,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
329,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
330,7172,S. Klaiber,135271,Defender,FC Utrecht,Holland Eredivisie
331,7184,J. Mattheij,104971,Defender,Sparta Rotterdam,Holland Eredivisie
332,7195,T. Baumgartl,141328,Defender,PSV Eindhoven,Holland Eredivisie
333,7216,F. Heerkens,66462,Defender,Willem II,Holland Eredivisie
